id,module,name,path,route,evidence_level,evidence_ref,status,notes
CH-0061,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKFrameInfo,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0062,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKHTTPCookieStore,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0063,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKNavigationAction,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0064,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKNavigationDelegate,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0065,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKNavigationResponse,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0066,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKPreferences,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0067,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKScriptMessage,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0068,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKScriptMessageHandler,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0069,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKSecurityOrigin,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0070,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKUIDelegate,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0071,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKUserContentController,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0072,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKUserScript,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0073,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKWebView,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0074,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKWebViewConfiguration,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0075,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKWebpagePreferences,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0076,webview_flutter_wkwebview,dev.flutter.pigeon.webview_flutter_wkwebview.WKWebsiteDataStore,,,S,App.framework/App strings,observed,Pigeon API type/root string
