id,module,name,path,route,evidence_level,evidence_ref,status,notes
SVC-0037,level,level_api_service.dart,package:cattery_shared/data/services/level_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0038,marketing,marketing_api_service.dart,package:cattery_shared/data/services/marketing_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0039,member,member_api_service.dart,package:cattery_shared/data/services/member_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0040,merchant,merchant_api_service.dart,package:cattery_shared/data/services/merchant_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0041,mini_program_qrcode,mini_program_qrcode_api_service.dart,package:cattery_shared/data/services/mini_program_qrcode_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0042,operation,operation_api_service.dart,package:cattery_shared/data/services/operation_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0043,overview,overview_api_service.dart,package:cattery_shared/data/services/overview_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0044,pet_transfer,pet_transfer_api_service.dart,package:cattery_shared/data/services/pet_transfer_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0045,point,point_api_service.dart,package:cattery_shared/data/services/point_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0046,product,product_api_service.dart,package:cattery_shared/data/services/product_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0047,queue,queue_api_service.dart,package:cattery_shared/data/services/queue_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0048,rating_tag,rating_tag_api_service.dart,package:cattery_shared/data/services/rating_tag_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0049,receipt,receipt_api_service.dart,package:cattery_shared/data/services/receipt_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0050,record_interaction,record_interaction_api_service.dart,package:cattery_shared/data/services/record_interaction_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
