id,module,name,path,route,evidence_level,evidence_ref,status,notes
API-N-0310,admin/shops,web-admin-named-request,web-only,/api/admin/shops/detail/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0167; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0311,admin/shops,web-admin-named-request,web-only,/api/admin/shops/detail/config,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0168; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=auto_backup_config,batch_config_response,intro_splash_config,shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0312,admin/shops,web-admin-named-request,app-only,/api/admin/shops/update/,S,merged app+web baselines,normalized|app-only|P1|method=web,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0194; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0313,admin/shops,web-admin-named-request,web-only,/api/admin/shops/update/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0169; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0314,admin/shops,web-admin-named-request,web-only,/api/admin/shops/update/:id/default,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0170; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0315,admin/shops,web-admin-named-request,web-only,/api/admin/shops/update/:id/dy-default,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0171; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0316,admin/shops,web-admin-named-request,web-only,/api/admin/shops/update/:id/xhs-default,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0172; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=shop_page; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0317,admin/shopsr,app-only,app-only,/api/admin/shopsr,S,merged app+web baselines,normalized|app-only|P1|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0195; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0318,admin/sms,web-admin-named-request,shared,/api/admin/sms,S,merged app+web baselines,normalized|shared|P0|method=web,"sources=shared; evidence_combo=S+W; raw_ids=API-APP-0196,API-WEB-0173; method=post; method_source=web-admin-named-request; auth=likely-public-or-pre-session; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0319,admin/stats,app-only,app-only,/api/admin/stats/generate-history,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0197; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0320,admin/stats,app-only,app-only,/api/admin/stats/trend,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0198; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0321,admin/store,app-only,app-only,/api/admin/store/order/,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0199; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0322,admin/store,web-admin-named-request,web-only,/api/admin/store/order/:order_id/status,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0174; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=daily_health_status; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0323,admin/store,web-admin-named-request,web-only,/api/admin/store/order/create,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0175; method=post; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0324,admin/store,web-admin-named-request,web-only,/api/admin/store/packages,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0176; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0325,admin/store,web-admin-named-request,web-only,/api/admin/store/verify-iap,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0177; method=post; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0326,admin/structure,app-only,app-only,/api/admin/structure/invite-qrcode,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0200; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0327,admin/structure,path-heuristic-medium,app-only,/api/admin/structure/member/delete/,I,merged app+web baselines,normalized|app-only|P2|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0201; method=delete; method_source=path-heuristic-medium; auth=bearer-or-token-header; entities=member_info,member_level,membership,membership_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0328,admin/structure,path-heuristic-medium,app-only,/api/admin/structure/member/update/,I,merged app+web baselines,normalized|app-only|P2|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0202; method=put; method_source=path-heuristic-medium; auth=bearer-or-token-header; entities=member_info,member_level,membership,membership_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0329,admin/structure,app-only,app-only,/api/admin/structure/members,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0203; method=∅; method_source=∅; auth=bearer-or-token-header; entities=membership,membership_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0330,admin/structure,app-only,app-only,/api/admin/structure/merchant/switch,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0204; method=∅; method_source=∅; auth=bearer-or-token-header; entities=merchant_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
